"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_v3.x","Arduino Nano 3D:Arduino_Nano",""
"2","C1, C2","2","C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","C3, C4","2","C","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",""
"4","J1","1","Jack-DC","Jack-DC:Jack-DC",""
"5","J2, J3","2","Conn_01x15_MountingPin","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"6","S1","1","Switch-Horizontal","Switch-Horizontal:Switch-Horizontal-2",""
"7","U1","1","L7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"8","U2","1","MicroSD-Card-Adapter","MicroSD-Card-Adapter:MicroSD-Card-Adapter",""
