"#","Reference","Qty","Value","Footprint","DNP"
"1","J1, J2","2","Conn_01x15_MountingPin","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"2","U1","1","BMP280","BMP280:BMP280",""
"3","U2","1","~","MPU6050:MPU6050",""
